,LONELY2,SATJOB,MOREDAYS,WRKHOME,HLTHPHYS,HLTHMNTL,CONWKDAY,PARTLSC,AGE,MARITAL,EDUC,is_si,marital_cat,MOREWEEKS,Age Group
1841,1.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,72.0,3.0,4,0,0,1,4
1845,1.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,39.0,5.0,3,0,0,1,2
1852,2.0,2.0,5.0,1.0,4.0,4.0,2.0,5.0,27.0,5.0,2,0,0,1,1
1859,1.0,2.0,0.0,3.0,3.0,2.0,2.0,5.0,28.0,5.0,4,0,0,0,1
1867,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,34.0,1.0,1,0,1,1,2
1869,4.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,59.0,3.0,3,1,0,0,3
1889,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,30.0,1.0,2,0,1,1,2
1890,1.0,1.0,8.0,1.0,2.0,2.0,3.0,5.0,43.0,3.0,1,0,0,2,2
1891,2.0,1.0,8.0,1.0,4.0,2.0,3.0,5.0,27.0,5.0,1,0,0,2,1
1895,1.0,2.0,5.0,1.0,3.0,3.0,3.0,5.0,61.0,3.0,1,0,0,1,4
1896,2.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,39.0,4.0,3,0,0,0,2
1897,1.0,1.0,0.0,1.0,3.0,2.0,4.0,1.0,54.0,3.0,3,0,0,0,3
1899,1.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,54.0,5.0,2,0,0,1,3
1903,1.0,1.0,30.0,1.0,2.0,2.0,4.0,5.0,43.0,1.0,1,0,1,4,2
1906,5.0,3.0,6.0,1.0,2.0,2.0,4.0,5.0,51.0,3.0,3,1,0,1,3
