,TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
358,20180101181937,4,10,22,1,0,0,0
359,20180101181937,5,7,22,1,0,0,0
360,20180101181968,1,44,18,1,0,0,0
361,20180101181968,2,45,20,2,0,0,0
362,20180101181968,3,15,22,2,0,0,0
363,20180101181968,4,11,22,2,0,0,0
364,20180101181968,5,11,22,1,0,0,0
365,20180101181976,1,43,18,2,0,0,0
366,20180101181976,2,14,22,1,0,0,0
367,20180101181994,1,63,19,1,0,0,0
368,20180101181995,1,42,18,2,0,0,0
369,20180101181995,2,52,20,1,0,0,0
370,20180101181995,3,13,22,1,0,0,0
371,20180101181995,4,10,22,1,0,0,0
372,20180101181995,5,5,22,1,0,0,0
373,20180101182000,1,24,19,2,0,0,0
374,20180101182007,1,45,19,2,0,0,0
375,20180101182007,2,43,21,1,0,0,0
376,20180101182007,3,16,40,2,0,0,0
377,20180101182009,1,72,19,2,0,0,0
378,20180101182010,1,63,18,1,0,0,0
379,20180101182010,2,85,24,2,60,0,0
380,20180101182010,3,65,25,2,0,0,0
381,20180101182015,1,67,19,2,0,0,0
382,20180101182020,1,68,18,2,0,0,0
383,20180101182020,2,75,20,1,0,0,0
384,20180101182079,1,67,19,2,0,0,0
385,20180101182091,1,70,19,1,0,0,0
386,20180101182102,1,43,18,2,0,0,0
387,20180101182102,2,18,22,1,0,0,0
388,20180101182102,3,15,22,1,0,0,0
389,20180101182102,5,13,22,2,0,0,0
390,20180101182102,6,10,22,1,0,0,0
391,20180101182102,7,7,22,1,0,0,0
392,20180101182105,1,85,18,1,60,0,0
393,20180101182105,2,62,22,2,0,0,0
394,20180101182140,1,41,18,1,0,0,0
395,20180101182140,2,39,20,2,0,0,0
396,20180101182140,3,13,22,2,0,0,0
397,20180101182140,4,11,22,1,0,0,0
398,20180101182140,5,6,22,1,0,0,0
399,20180101182165,1,25,19,1,0,0,0
400,20180101182165,2,26,21,2,0,0,0
401,20180101182168,1,43,18,2,0,0,0
402,20180101182168,2,43,20,1,0,0,0
403,20180101182168,3,23,22,1,0,0,0
404,20180101182168,4,7,22,1,0,0,0
405,20180101182168,5,66,24,2,0,0,0
406,20180101182177,1,64,18,2,0,0,0
407,20180101182177,2,27,22,1,0,0,0
408,20180101182183,1,65,18,1,0,0,0
409,20180101182183,2,61,20,2,0,0,0
410,20180101182185,1,75,18,2,0,0,0
411,20180101182185,2,85,20,1,60,0,0
412,20180101182192,1,50,18,2,0,0,0
413,20180101182192,2,55,20,1,0,0,0
414,20180101182198,1,37,18,1,0,0,0
415,20180101182198,2,43,21,1,0,0,0
416,20180101182240,1,48,18,1,0,0,0
417,20180101182240,2,36,20,2,0,0,0
418,20180101182240,3,16,22,1,0,0,0
419,20180101182240,4,13,22,1,0,0,0
420,20180101182240,5,7,22,1,0,0,0
421,20180101182255,1,26,18,1,0,0,0
422,20180101182255,2,51,24,2,0,0,0
423,20180101182255,3,61,24,1,0,0,0
424,20180101182255,4,20,25,2,0,0,0
425,20180101182255,6,12,25,2,0,0,0
426,20180101182262,1,62,18,2,0,0,0
427,20180101182262,2,65,20,1,0,0,0
428,20180101182293,1,80,18,2,0,0,0
429,20180101182293,2,53,22,2,0,0,0
430,20180101182320,1,80,18,1,0,0,0
431,20180101182320,2,80,20,2,60,0,0
432,20180101182325,1,66,18,2,0,0,0
433,20180101182325,2,21,22,2,0,0,0
434,20180101182325,3,38,22,2,0,0,0
435,20180101182325,4,16,23,1,0,0,0
436,20180101182325,5,15,23,2,0,0,0
437,20180101182325,6,9,23,1,0,0,0
438,20180101182325,7,47,26,1,0,0,0
439,20180101182327,1,62,19,1,0,0,0
440,20180101182331,1,76,19,1,0,0,0
441,20180101182341,1,39,19,2,0,0,0
442,20180101182355,1,22,18,2,0,0,0
443,20180101182355,2,58,24,1,0,0,0
444,20180101182355,3,54,24,2,0,0,0
445,20180101182387,1,58,18,2,0,0,0
446,20180101182387,2,65,20,1,0,0,0
447,20180101182392,1,23,18,2,0,0,0
448,20180101182392,2,42,24,2,0,0,0
449,20180101182392,3,47,24,1,0,0,0
450,20180101182416,1,48,18,2,0,0,0
451,20180101182416,2,18,22,1,0,0,0
452,20180101182416,3,18,22,1,0,0,0
453,20180101182436,1,44,18,1,0,0,0
454,20180101182436,2,41,20,2,0,0,0
455,20180101182436,3,6,22,2,0,0,0
456,20180101182439,1,41,19,1,0,0,0
457,20180101182439,2,10,40,1,0,0,0
458,20180101182440,1,38,18,1,0,0,0
459,20180101182440,2,30,20,2,0,0,0
460,20180101182440,3,2,22,2,0,0,0
461,20180101182440,4,0,22,1,0,0,0
462,20180101182445,1,59,18,2,0,0,0
463,20180101182445,2,68,20,1,0,0,0
464,20180101182449,1,59,18,1,0,0,0
465,20180101182449,2,29,22,2,0,0,0
466,20180101182464,1,72,19,1,0,0,0
467,20180101182475,1,80,19,1,0,0,0
468,20180101182480,1,71,18,2,0,0,0
469,20180101182480,2,72,20,1,0,0,0
470,20180101182486,1,32,18,2,0,0,0
471,20180101182486,2,32,20,1,0,0,0
472,20180101182486,3,8,22,2,0,0,0
473,20180101182486,4,6,22,1,0,0,0
474,20180101182486,5,3,22,2,0,0,0
475,20180101182488,1,28,18,2,0,0,0
476,20180101182488,2,32,20,1,0,0,0
477,20180101182488,3,1,22,1,0,0,0
478,20180101182493,1,77,19,1,0,0,0
479,20180101182502,1,48,19,2,0,0,0
480,20180101182505,1,64,19,2,0,0,0
481,20180101182517,1,54,18,2,0,0,0
482,20180101182517,2,20,22,2,0,0,0
483,20180101182517,3,23,22,2,0,0,0
484,20180110170858,1,65,19,2,0,0,0
485,20180110170858,2,62,20,1,0,0,0
486,20180110171703,1,35,18,2,0,0,0
487,20180110171703,2,37,20,1,0,0,0
488,20180110171703,3,11,22,1,0,0,0
489,20180110171703,4,7,22,2,0,0,0
490,20180110171942,1,34,18,1,0,0,0
491,20180110171942,2,30,20,2,0,0,0
492,20180110171942,3,30,28,2,0,0,0
493,20180110172107,1,60,18,2,0,0,0
494,20180110172107,2,64,20,1,0,0,0
495,20180111170001,1,85,19,2,60,0,0
496,20180111170016,1,54,18,2,0,0,0
497,20180111170016,2,60,20,1,0,0,0
498,20180111170019,1,22,19,2,0,0,0
499,20180111170047,1,75,18,2,0,0,0
500,20180111170047,2,78,20,1,0,0,0
501,20180111170053,1,65,19,2,0,0,0
502,20180111170111,1,26,18,1,0,0,0
503,20180111170111,2,24,21,1,0,0,0
504,20180111170120,1,48,18,1,0,0,0
