,TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
2062,20181110182268,85,4,33,5,0,2,-1,60,0,0,0
2063,20181110182284,85,4,49,5,0,2,-1,60,0,0,0
2064,20181110182295,73,1,34,-1,0,5,-1,0,0,0,-1
2065,20181110182295,73,1,33,-1,0,6,-1,0,0,0,-1
2066,20181110182297,85,1,41,-1,0,3,-1,60,0,0,-1
2067,20181110182313,72,2,56,-1,0,5,-1,42,0,0,-1
2068,20181110182313,80,2,56,-1,0,6,-1,61,0,0,-1
2069,20181110182313,85,2,56,-1,0,7,-1,61,0,0,-1
2070,20181110182313,55,2,56,-1,0,8,-1,42,0,0,-1
2071,20181110182313,85,2,56,-1,0,9,-1,61,0,0,-1
2072,20181110182316,85,2,33,-1,0,2,-1,60,0,0,-1
2073,20181110182387,78,3,47,-1,0,2,-1,0,0,0,-1
2074,20181110182457,85,4,44,5,0,4,-1,60,0,0,0
2075,20181110182493,80,1,33,-1,0,3,-1,60,0,0,-1
2076,20181110182510,85,4,39,6,0,4,-1,60,0,0,0
2077,20181110182524,76,4,39,5,0,7,-1,0,0,0,0
2078,20181110182526,76,4,34,10,0,2,-1,0,0,0,0
2079,20181110182535,85,4,41,6,0,3,-1,60,0,0,0
2080,20181111180541,65,4,38,3,0,2,-1,0,0,0,0
2081,20181111180580,85,4,33,2,0,3,-1,60,0,0,0
2082,20181111180580,68,1,43,-1,0,4,-1,0,0,0,-1
2083,20181111180985,72,4,43,5,0,5,-1,0,0,0,0
2084,20181111180985,71,1,43,-1,0,6,-1,0,0,0,-1
2085,20181111180991,85,4,34,20,0,3,-1,60,0,0,0
2086,20181111180991,80,4,33,10,0,4,-1,60,0,0,0
2087,20181111180991,78,4,39,8,0,5,-1,0,0,0,0
2088,20181111181003,25,2,37,-1,0,5,-1,0,0,0,-1
2089,20181111181146,85,3,33,-1,0,2,-1,60,0,0,-1
2090,20181111181371,85,1,34,-1,0,2,-1,0,0,0,-1
2091,20181111181371,80,1,33,-1,0,3,-1,60,0,0,-1
2092,20181111181417,79,1,20,-1,1,2,2,0,0,0,-1
2093,20181111181587,80,4,33,10,0,2,-1,0,0,0,0
2094,20181111181587,85,4,41,6,0,3,-1,60,0,0,0
2095,20181111181683,68,4,39,10,0,5,-1,0,0,0,0
2096,20181111182047,80,4,33,2,0,4,-1,60,0,0,0
2097,20181111182047,85,3,34,-1,0,5,-1,0,0,0,-1
2098,20181111182244,85,4,44,3,0,4,-1,60,0,0,0
2099,20181111182244,71,4,33,15,0,5,-1,0,0,0,0
2100,20181111182244,70,4,34,15,0,6,-1,0,0,0,0
2101,20181111182426,75,4,43,2,0,9,-1,42,0,0,0
2102,20181111182487,76,1,36,-1,0,5,-1,0,0,0,-1
2103,20181209181278,80,4,20,11,1,2,2,0,0,0,0
2104,20181210180509,85,3,38,-1,0,2,-1,60,0,0,-1
2105,20181210180579,85,2,48,-1,0,2,-1,60,0,0,-1
